prompt,AI response 1,Status 1,response 2,status 2,response 3,status 3,response 4,status 4,score (BranchOut! Innovator Scoring Rubric ),score 2,chat gpt response,chat gpt grading spec label,Qwen studio 3.7 plus,Qwen studio 3.7 plus spec label
"A school has 9 classes of 20 students and 1 class of 200 students. The administration reports 'average class size: 38.' If you instead survey every student and ask 'how many kids are in your class,' then average their answers, what number do you get?","Student-weighted average = (9x20x20 + 200x200) / 380 ~= 114.7, far higher than the administrator's 38.",pass,,,,,,,,,,,,
"Students scoring in the bottom 10% on a pretest are given a tutoring program. On the retest, their average score rises substantially. Does this show the tutoring worked?",Not conclusively -- regression to the mean predicts a rise for any extreme-scoring group even with no intervention. A control group (bottom 10% who got no tutoring) is needed to isolate the tutoring's effect.,pass,,,,,,,,,,,,
A drug screening test is 95% accurate (in both directions) and used on a population where 1 in 500 people actually has the condition. A person tests positive twice in a row on two independent administrations of the test. What's the probability they actually have the condition now?,"After one positive: P(condition|+) ~= 1.9% (Bayes with base rate 1/500). Updating again on a second independent positive raises the posterior sharply, to roughly 28% (using the first posterior as the new prior). The point is it must be computed via two sequential Bayesian updates, not the single-test PPV.",pass,,,,,,,,,,,,
"In a room of 23 people, is it more likely than not that at least two of them share a birthday (ignoring leap years)?","Yes -- the probability is about 50.7%, counterintuitively high for only 23 people.",pass,,,,,,,,,,,,
A fair coin has landed heads 8 times in a row. What's the probability the next flip is heads?,Still 50% -- each flip is an independent event; the coin has no memory.,pass,,,,,,,,,,,,
You roll two fair six-sided dice. Someone tells you 'at least one of them is a 6.' What's the probability both are 6? Does the answer change if instead they tell you 'the first die is a 6'?,At least one is a 6': P(both 6 | at least one 6) = 1/11. 'The first die is a 6': P(both 6 | first is 6) = 1/6. These are genuinely different conditioning events and give different answers.,pass,,,,,,,,,,,,
"A DNA match has a 1-in-a-million false positive rate. In a city of 10 million people, a suspect's DNA matches crime-scene evidence. A prosecutor argues this proves guilt beyond any reasonable doubt. Is that reasoning sound?","No -- with 10 million people, roughly 10 innocent people would be expected to match by chance alone, so a match alone doesn't establish guilt; it must be combined with other evidence.",pass,,,,,,,,,,,,
"A ball dropped from 20 m takes t seconds to hit the ground on Earth. Dropped from the same height on the Moon (where g is about 6x smaller), does it take 6x as long?","No -- fall time scales as 1/sqrt(g), so it takes sqrt(6) ~= 2.45x as long, not 6x.",pass,,,,,,,,,,,,
A solution's pH drops from 7 to 4. A lab tech says 'so it's three times more acidic.' Is that correct?,"No -- pH is a logarithmic (base-10) scale, so a drop of 3 units means the H+ concentration is 1000x higher, not 3x.",pass,,,,,,,,,,,,
A skydiver jumps from twice the altitude of a previous jump. Will their impact speed be twice as fast?,"Ignoring air resistance, v = sqrt(2gh), so doubling h only increases speed by sqrt(2) ~= 1.41x. With real air resistance, the diver approaches terminal velocity (roughly 53 m/s belly-to-earth), so beyond a certain altitude, extra height barely changes impact speed at all.",pass,,,,,,,,,,,,
"Two speakers each produce 70 dB of sound individually. If they play at the same time, what's the combined loudness in decibels?","About 73 dB, not 140 dB -- decibels are a logarithmic scale, so doubling the sound power adds roughly 3 dB, it doesn't sum the dB values directly.",pass,,,,,,,,,,,,
"A satellite orbits at radius r with period T. If a second satellite orbits at 2r, is its orbital period 2T?","No -- by Kepler's third law, T^2 is proportional to r^3, so doubling the radius increases the period by 2^1.5 ~= 2.83x, not 2x.",pass,,,,,,,,,,,,
"A radioactive sample has a half-life of 10 years. After 25 years, what fraction of the original sample remains? Someone argues: '25 years is two and a half half-lives, so 2.5 x the halving amount is gone, meaning 62.5% is gone and 37.5% remains.'","The correct fraction remaining is 0.5^2.5 ~= 17.7%, not 37.5% -- half-life decay compounds exponentially, it isn't linear in the number of half-lives.",pass,,,,,,,,,,,,
A racket and a shuttlecock cost $12.10 together. The racket costs $10.00 more than the shuttlecock. How much is the shuttlecock?,Solve 2x + 10 = 12.10: x = $1.05.,pass,,,,,,,,,,,,
A patch of lily pads doubles in size every day. It takes 61 days to cover the entire lake. How many days does it take to cover 1/8 of the lake?,58 days -- each halving step back from full coverage is one fewer day: 61 (full) -> 60 (1/2) -> 59 (1/4) -> 58 (1/8).,pass,,,,,,,,,,,,
"If 5 machines take 5 minutes to make 5 widgets, how long do 100 machines take to make 100 widgets?",5 minutes -- each machine independently makes one widget in 5 minutes; adding more machines in parallel doesn't change the per-widget time.,pass,,,,,,,,,,,,
"8 workers build a wall in 10 days. How long would it take 5 workers, if 2 of the 5 are only half as productive as a standard worker?","Total work = 8 x 10 = 80 standard worker-days. The 5-worker team has effective capacity of 3x1 + 2x0.5 = 4 standard workers, so time = 80/4 = 20 days.",pass,,,,,,,,,,,,
You're running a race and you pass the person in 2nd place. What place are you in now?,"2nd place -- you've taken over the position of the person you passed, not 1st.",pass,,,,,,,,,,,,
A farmer has 17 sheep. All but 9 die. How many sheep does the farmer have left?,9 -- 'all but 9 die' means 9 survive.,pass,,,,,,,,,,,,
"A bacteria colony doubles every 20 minutes. Starting with 1 bacterium, how many bacteria are there after 3 hours?","3 hours = 180 minutes = 9 doubling periods, so 2^9 = 512 bacteria.",pass,,,,,,,,,,,,
"def add_item(item, lst=[]):
    lst.append(item)
    return lst

print(add_item(1))
print(add_item(2))

What does the second print() call output in Python?","[1, 2] -- the default list argument is created once and persists across calls, so it accumulates rather than resetting.",pass,,,,,,,,,,,,
"lst = [1, 2, 3, 4, 5]
for i in range(len(lst)):
    if lst[i] % 2 == 0:
        lst.remove(lst[i])
print(lst)

What happens when this Python code runs?","It raises an IndexError partway through -- removing elements while iterating by index shifts the remaining items, and the loop eventually indexes past the now-shorter list.",pass,,,,,,,,,,,,
"int a = 3, b = 4;
System.out.println((a + b) / 2);

What does this Java snippet print?","3 -- (a + b) is 7, an int, and int division truncates toward zero, so 7 / 2 = 3, not 3.5.",pass,,,,,,,,,,,,
"var funcs = [];
for (var i = 0; i < 3; i++) {
  funcs.push(function() { return i; });
}
console.log(funcs.map(f => f()));

What does this JavaScript log?","[3, 3, 3] -- var is function-scoped, so all three closures share the same variable i, whose final value after the loop is 3.",pass,,,,,,,,,,,,
"SELECT COUNT(*) FROM orders WHERE customer_id = NULL;

Assuming some rows in the orders table have a NULL customer_id, what does this query return, and why?","0 (or however many rows equal NULL under three-valued logic, which is none) -- in SQL, comparing anything to NULL with = always evaluates to UNKNOWN, never TRUE, even when customer_id genuinely is NULL. The correct query would use 'WHERE customer_id IS NULL'.",pass,,,,,,,,,,,,
"for i in range(1, 10):
    print(i)

How many numbers does this print, and what is the last one?","9 numbers printed, from 1 through 9; range(1, 10) excludes the upper bound.",pass,,,,,,,,,,,,
A binary classifier is trained on a dataset with 950 negative examples and 50 positive examples. It predicts 'negative' for every single input and reports 95% accuracy. Is this a good model?,"No -- despite 95% accuracy, it has 0% recall on the positive class; it never correctly identifies a single positive case. Accuracy alone is misleading under this class imbalance.",pass,,,,,,,,,,,,
"A model achieves 99.8% accuracy on its training set and 61% on a held-out test set. The team wants to ship it, citing the 99.8% figure. What should you actually expect from its real-world performance?","The training accuracy is close to meaningless here -- the large gap indicates severe overfitting. Real-world performance is likely to track closer to (or even below) the 61% test figure, especially if the test set isn't fully representative of production data.",pass,,,,,,,,,,,,
"Two threads each increment a shared, unlocked integer counter 1,000,000 times, then the program prints the final value. What will it print?","Not reliably 2,000,000 -- without synchronization, the increments race and some updates are lost, so the result is nondeterministic and typically less than 2,000,000.",pass,,,,,,,,,,,,
"A recipe calls for the sugar to be 'reduced by half, twice.' Someone starts with 200 g of sugar. How much sugar do they end up with?","Genuinely ambiguous: read as two sequential halvings, 200 -> 100 -> 50 g. Read as a single halving emphasized twice (i.e., 'reduce by half' repeated for clarity, not compounded), 200 -> 100 g. A good answer computes both and states which reading is more natural rather than silently picking one.",pass,,,,,,,,,,,,
"A phone's battery drains '10% per hour.' After 5 hours, how much charge is left? Note that this could mean 10 percentage points of the original charge lost each hour, or 10% of the remaining charge lost each hour.",Linear reading (10 percentage points/hour of the original): 100% - 50% = 50% left. Exponential reading (10% of remaining/hour): 0.9^5 ~= 59% left. The two readings diverge meaningfully and the question doesn't disambiguate which is meant.,pass,,,,,,,,,,,,
"An item already marked '30% off' gets 'an additional 20% off.' Is the total discount 50% off the original price, or 20% off the already-discounted price (which works out to 44% off the original)?","Ambiguous in principle, but retail convention strongly favors stacking multiplicatively off the current price: 0.70 x 0.80 = 0.56, i.e., 44% off original, not 50%. A good answer states the conventional reading (44%) while flagging that '50% off total' is a plausible naive misreading.",pass,,,,,,,,,,,,
A Wednesday meeting is 'moved forward by two days.' What day is the meeting now on?,"Genuinely ambiguous in everyday English: some speakers treat 'forward' as further into the future (Wednesday -> Friday), others treat it as moving the date earlier, toward the present (Wednesday -> Monday). A good answer names both readings rather than confidently picking one.",pass,,,,,,,,,,,,
"A study finds ice cream sales and drowning deaths are correlated at r = 0.85 across months. A researcher concludes ice cream causes drownings. What's the more likely explanation, and does the strength of the correlation (0.85) make the causal claim more credible?","The likely confound is a third variable, hot weather/summer season, which independently drives both ice cream sales and swimming (and thus drowning risk). A high correlation coefficient does NOT make a spurious causal claim more credible -- r=0.85 measures the strength of association, not whether it's causal; a strong correlation can be entirely non-causal.",pass,,,,,,,,,,,,
